ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
480S.MC,bme_growth,,480S,ES0105509006,"SOLUCIONES CUATROOCHENTA, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
AIG.MC,bme_growth,,AIG,ES0105744009,"ANDINO INVERSIONES GLOBAL, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
AKL.MC,bme_growth,,AKL,BG1100005179,"AKILES CORPORATION, SE",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
ALC.MC,bme_growth,,ALC,ES0113312021,"ALTIA CONSULTORES, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
ALQ.MC,bme_growth,,ALQ,ES0105366001,"ALQUIBER QUALITY, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
AMEN.MC,bme_growth,,AMEN,ES0105588000,AETERNAL MENTIS,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
APG.MC,bme_growth,,APG,ES0105659009,"AXON PARTNERS GROUP, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
ATSI.MC,bme_growth,,ATSI,ES0105691002,APLICACIONES Y TRATAMIENTOS DE SISTEMAS,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
BST.MC,bme_growth,,BST,ES0184980003,BIOTECHNOLOGY ASSETS S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
BYTE.MC,bme_growth,,BYTE,ES0105817003,"BYTETRAVEL, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
CITY.MC,bme_growth,,CITY,ES0105606190,"CLUB DE FUTBOL INTERCITY, S.A.D.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
CLR.MC,bme_growth,,CLR,ES0105121000,"CLERHP ESTRUCTURAS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
COM.MC,bme_growth,,COM,ES0112320009,"CATENON, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
DOMO.MC,bme_growth,,DOMO,ES0105283008,"DOMO ACTIVOS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
EBROM.MC,bme_growth,,EBROM,ES0105725008,EBRO EV MOTORS S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
EEP.MC,bme_growth,,EEP,ES0133421000,"EUROESPES, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
