ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
AAT.MI,euronext_growth_milan,EXGM,AAT,IT0005548521,AATECH,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ABC.MI,euronext_growth_milan,EXGM,ABC,IT0005466294,ABC COMPANY,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ABP.MI,euronext_growth_milan,EXGM,ABP,IT0005439861,A.B.P. NOCIVELLI,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ABTG.MI,euronext_growth_milan,EXGM,ABTG,IT0005244030,ALFIO BARDOLLA,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ACQ.MI,euronext_growth_milan,EXGM,ACQ,IT0005443061,ACQUAZZURRA,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ADV.MI,euronext_growth_milan,EXGM,ADV,IT0005607715,ADVENTURE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
AGAIN.MI,euronext_growth_milan,EXGM,AGAIN,IT0005577090,CLOUDIA RESEARCH,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
AIM.MI,euronext_growth_milan,EXGM,AIM,IT0005204729,4AIM SICAF,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
AIM2.MI,euronext_growth_milan,EXGM,AIM2,IT0005440323,4AIM SICAF COMP 2,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ALFO.MI,euronext_growth_milan,EXGM,ALFO,IT0005466039,ALFONSINO,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ALMS.MI,euronext_growth_milan,EXGM,ALMS,IT0005717241,ALIA MENTIS,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
AMB.MI,euronext_growth_milan,EXGM,AMB,IT0004779515,AMBROMOBILIARE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
AMI.MI,euronext_growth_milan,EXGM,AMI,IT0005664641,FRIENDS,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ARBS.MI,euronext_growth_milan,EXGM,ARBS,IT0005386369,ARTERRA BIOSCIENCE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ART.MI,euronext_growth_milan,EXGM,ART,IT0005528937,DEODATO.GALLERY,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
ATON.MI,euronext_growth_milan,EXGM,ATON,IT0005449464,ATON GREEN STORAGE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
BELL.MI,euronext_growth_milan,EXGM,BELL,IT0005497042,BELLINI NAUTICA,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
BF.MI,euronext_growth_milan,EXGM,BF,IT0003516066,BOLOGNAFIERE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
CBB.MI,euronext_growth_milan,EXGM,CBB,IT0005377277,CLEANBNB,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
CDG.MI,euronext_growth_milan,EXGM,CDG,IT0005003782,CASTA DIVA GROUP,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
CFL.MI,euronext_growth_milan,EXGM,CFL,IT0005465619,COFLE,https://live.euronext.com/en/pd_es/data/stocks,2026-08-05T13:07:04.975683+00:00
