ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
4MB.WA,newconnect,,4MB,PLESLTN00010,4Mobility S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
7FT.WA,newconnect,,7FT,PLTRCPS00016,7FIT Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
7LV.WA,newconnect,,7LV,PL7LVLS00017,7LEVELS SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ABK.WA,newconnect,,ABK,PLABAK000013,Abak S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AER.WA,newconnect,,AER,GB00B42V2T10,VENDA SE,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AFC.WA,newconnect,,AFC,PLAKCFN00013,AKCEPT Finance SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AGL.WA,newconnect,,AGL,CY0101452114,Agroliga Group Plc.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AGP.WA,newconnect,,AGP,PLAGRMP00010,AGROMEP Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AIN.WA,newconnect,,AIN,PLABSIN00012,ABS Investment Alternatywna Spolka Inwestycyjna Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AIT.WA,newconnect,,AIT,PLATCDL00013,Aiton Caldwell SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AME.WA,newconnect,,AME,PLDNMPT00016,ADVANCED MEDICAL EQUIPMENT SPOLKA AKCYJNA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AOL.WA,newconnect,,AOL,PLONLIN00013,Analizy Online S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
APA.WA,newconnect,,APA,PLAPANT00017,APANET SA Class D,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
APC.WA,newconnect,,APC,PLBIOMD00017,Apollo Capital S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
APS.WA,newconnect,,APS,PLPOMST00012,Automatyka-Pomiary-Sterowanie SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AQA.WA,newconnect,,AQA,PLAQA0000014,AQUA Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AQU.WA,newconnect,,AQU,PLAQUA000014,AQUA S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ARG.WA,newconnect,,ARG,PLARTGS00019,Art Games Studio SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ARI.WA,newconnect,,ARI,PLAGRIN00013,Agencja Rozwoju Innowacji SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ASA.WA,newconnect,,ASA,PLHMSG000019,APIS S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ASR.WA,newconnect,,ASR,PLASTRO00013,Astro S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ATA.WA,newconnect,,ATA,PLATCRG00013,ATC Cargo S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ATJ.WA,newconnect,,ATJ,PLATMCJ00018,Atomic Jelly SA Class A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AUX.WA,newconnect,,AUX,PLAXILA00018,AUXILIA SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AVE.WA,newconnect,,AVE,PLADMSC00013,Advertigo SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
AZC.WA,newconnect,,AZC,PLAZTEC00011,Aztec International S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BAC.WA,newconnect,,BAC,PLBCT0000020,B-ACT SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BEE.WA,newconnect,,BEE,PLA346500012,BeeIN SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BEP.WA,newconnect,,BEP,PLBMSEP00011,Biomass Energy Project SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BGD.WA,newconnect,,BGD,PLBIOGN00018,Biogened SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BHX.WA,newconnect,,BHX,PLBNRHL00013,Binary Helix SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BIG.WA,newconnect,,BIG,PLBSG0000023,Baseig Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BKD.WA,newconnect,,BKD,PLBKDGM00019,Baked Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BLF.WA,newconnect,,BLF,PLBLTXG00010,BeLeaf Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BLT.WA,newconnect,,BLT,PLBLT0000013,Balticon SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BPC.WA,newconnect,,BPC,PLBLKPC00014,Black Pearl SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BPN.WA,newconnect,,BPN,PLBLKPT00018,Black Point SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
